Agence de rattachement,Sexe ,Age,Situation Matrimoniale,Occupation/profession,Nombres de mois de cotisation,Nombres de plans cotisés,Nombre de plans cotisés à terme,Montant de l'épargne cotisé,Nombre de transactions enregistrées,Nombre de crédits demandés,Montant de crédits demandés,Secteur d'activité économique du crédit demandé,Sous Secteur d'activité économique du crédit demandé,Nombres de crédit octroyés,Cotisation au RPC,Cautionnement signé,Revenus du Garant
A349, F ,32.0, Marié ,Commerce,13,13,2,503200,141,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,160000.0
A284, F ,40.0, Marié ,Commerce,4,4,2,420000,45,1,1000000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A284, M ,45.0, Marié ,Artisan,8,8,8,496000,38,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,220000.0
A234, M ,24.0, Célibataire ,Commerce,13,13,12,486000,203,2,800000.0, COMMERCE , Informel ,2,0.9219478098788444, Oui ,0.0
A311, M ,23.0, Célibataire ,Commerce,12,12,0,344000,153,2,400000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,150000.0
A353, F ,32.0, Marié ,Commerce,13,13,13,281000,200,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A313, M ,42.0, Marié ,Commerce,13,13,10,396000,40,1,400000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A315, F ,28.0, Marié ,Commerce,14,14,3,325000,62,1,300000.0, COMMERCE , Formel ,1,1.0, Oui ,60000.0
A353, M ,39.0, Marié ,Restauration,14,21,15,793000,341,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,100000.0
A346, F ,25.0, Célibataire ,Commerce,12,13,4,338000,47,1,300000.0, COMMERCE , Informel ,1,0.9219478098788444, Non ,100000.0
A313, M ,40.0, Marié ,Commerce,12,12,9,400000,49,1,500000.0, COMMERCE , Formel ,0,1.0, Non ,100000.0
A353, M ,43.0, Marié ,Commerce,12,13,4,1180000,149,1,1000000.0, COMMERCE , Formel ,1,1.0, Non ,100000.0
A313, M ,22.0, Célibataire ,Commerce,6,10,1,142500,13,1,500000.0, COMMERCE , Formel ,0,1.0, Non ,100000.0
A320, F ,21.0, Célibataire ,Commerce,9,10,6,237000,63,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A241, F ,27.0, Marié ,Commerce,8,8,6,227000,70,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A300, M ,34.0, Marié ,Commerce,14,14,5,681500,221,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A307, M ,25.0, Marié ,Commerce,14,14,12,408500,190,1,288000.0, COMMERCE , Formel ,1,1.0, Oui ,44000.0
A348, F ,24.0, Marié ,Commerce,13,15,8,294000,59,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A297, F ,37.0, Marié ,Commerce,14,15,12,219000,251,1,100000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A284, M ,37.0, Marié ,Autres,10,10,4,470000,14,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A270, F ,43.0, Marié ,Commerce,12,13,7,695000,92,1,700000.0, COMMERCE , Formel ,0,1.0, Oui ,0.0
A257, F ,33.0, Divorcé ,Commerce,14,14,11,371000,135,1,260000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A348, F ,41.0, Marié ,Commerce,13,16,11,557000,162,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,250000.0
A348, F ,29.0, Marié ,Commerce,14,21,15,1894000,191,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,320000.0
A244, F ,28.0, Marié ,Commerce,14,16,13,1226500,219,2,1300000.0, COMMERCE , Informel ,2,1.0, Oui ,300000.0
A260, M ,51.0, Veuf ,Commerce,6,6,2,143000,11,1,250000.0, COMMERCE , Informel ,1,1.0, Non ,250000.0
A251, M ,32.0, Marié ,Commerce,14,14,11,557000,233,1,400000.0, COMMERCE , Informel ,1,1.0, Non ,50000.0
A284, F ,27.0, Marié ,Commerce,14,17,7,625700,242,1,500000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,120000.0
A284, M ,30.0, Marié ,Commerce,10,10,9,568000,95,1,500000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,0.0
A310, F ,52.0, Marié ,Restauration,12,12,9,648000,125,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,94000.0
A313, F ,34.0, Marié ,Commerce,5,5,3,100000,26,1,300000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A310, M ,50.0, Marié ,Restauration,13,13,8,295500,150,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,100000.0
A310, M ,35.0, Marié ,Commerce,13,13,11,845500,181,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A257, M ,29.0, Célibataire ,Commerce,13,13,8,719000,67,2,1040000.0, COMMERCE , Informel ,1,1.0, Oui ,300000.0
A303, F ,33.0, Marié ,Commerce,13,15,14,207400,34,1,136000.0, COMMERCE , Formel ,1,1.0, Oui ,70000.0
A351, M ,31.0, Marié ,Administration,11,16,11,752500,126,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,85000.0
A300, M ,31.0, Marié ,Commerce,14,14,13,592000,241,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Non ,85000.0
A341, M ,44.0, Marié ,Commerce,9,9,7,492000,16,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A341, M ,35.0, Célibataire ,Administration,12,13,6,245500,114,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A351, F ,43.0, Célibataire ,Commerce,14,14,12,229100,190,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,70000.0
A324, F ,30.0, Marié ,Commerce,14,14,4,948000,220,1,800000.0, COMMERCE , Informel ,0,1.0, Oui ,70000.0
A238, M ,21.0, Inconnue ,Commerce,14,14,14,513000,135,2,600000.0, COMMERCE , Informel ,2,0.0, Oui ,10000.0
A319, M ,41.0, Marié ,Commerce,10,10,0,192000,51,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,75000.0
A234, F ,24.0, Marié ,Commerce,14,14,5,325000,128,2,440000.0, COMMERCE , Informel ,2,1.0, Oui ,150000.0
A350, M ,34.0, Inconnue ,Commerce,13,13,0,3260000,142,1,1000000.0, COMMERCE , Formel ,1,0.9219478098788444, Oui ,200000.0
A353, F ,38.0, Divorcé ,Commerce,14,14,5,296000,163,1,145000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A344, F ,32.0, Marié ,Commerce,14,14,10,323500,110,2,375000.0, COMMERCE , Informel ,2,0.9219478098788444, Oui ,45000.0
A234, F ,27.0, Marié ,Commerce,14,14,13,215000,104,1,130000.0, COMMERCE , Formel ,1,1.0, Oui ,120000.0
A351, F ,48.0, Inconnue ,Commerce,13,14,10,461500,58,1,500000.0, COMMERCE , Informel ,0,1.0, Non ,120000.0
A337, F ,37.0, Marié ,Commerce,12,14,12,202000,22,1,200000.0, COMMERCE , Formel ,1,1.0, Oui ,400000.0
A349, F ,42.0, Marié ,Commerce,14,15,5,613000,154,2,900000.0, COMMERCE , Formel ,2,1.0, Oui ,240000.0
A244, M ,19.0, Célibataire ,Commerce,14,15,9,510000,166,1,130000.0, COMMERCE , Informel ,0,1.0, Oui ,130000.0
A305, F ,38.0, Marié ,Commerce,14,14,12,190600,234,1,136000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A234, F ,22.0, Marié ,Commerce,14,14,13,184700,211,1,100000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A247, F ,28.0, Marié ,Commerce,14,15,12,402000,81,1,218000.0, COMMERCE , Informel ,0,1.0, Oui ,60000.0
A270, F ,30.0, Marié ,Commerce,12,12,9,269500,123,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,80000.0
A350, M ,34.0, Marié ,Commerce,13,14,4,279000,149,1,250000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A337, F ,34.0, Marié ,Administration,13,18,6,1080000,84,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,125000.0
A320, M ,23.0, Marié ,Commerce,13,13,8,606000,73,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,250000.0
A344, F ,54.0, Veuf ,Commerce,14,14,13,903500,221,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A344, F ,19.0, Célibataire ,Commerce,10,10,6,131000,115,2,400000.0, COMMERCE , Informel ,1,1.0, Oui ,50000.0
A284, F ,61.0, Marié ,Commerce,10,12,3,147300,56,1,180000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A284, F ,28.0, Marié ,Couture,10,10,8,412500,38,1,390000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,0.0
A337, F ,28.0, Célibataire ,Commerce,14,17,9,344200,165,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,100000.0
A230, F ,30.0, Marié ,Commerce,11,17,13,400500,113,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A351, F ,29.0, Célibataire ,Commerce,14,14,3,967000,113,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A251, M ,51.0, Marié ,Commerce,14,26,18,1713500,322,1,654000.0, COMMERCE , Formel ,1,1.0, Non ,100000.0
A315, F ,37.0, Inconnue ,Commerce,10,11,8,151500,110,1,150000.0, COMMERCE , Informel ,0,1.0, Oui ,60000.0
A244, M ,53.0, Marié ,Commerce,14,28,21,749000,246,1,200000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,200000.0
A315, M ,27.0, Inconnue ,Commerce,10,10,1,368000,95,1,400000.0, COMMERCE , Formel ,0,1.0, Non ,200000.0
A320, M ,26.0, Célibataire ,Commerce,10,10,4,460000,22,1,450000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A284, F ,45.0, Marié ,Commerce,11,11,7,259000,24,1,260000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A260, M ,30.0, Célibataire ,Administration,10,12,3,323700,53,1,349000.0, COMMERCE , Informel ,1,1.0, Non ,0.0
A260, F ,32.0, Célibataire ,Téléphonie_mobile,12,19,10,745200,20,1,500000.0, COMMERCE , Formel ,1,1.0, Non ,0.0
A332, F ,27.0, Marié ,Commerce,11,11,8,561000,14,1,400000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A344, F ,37.0, Marié ,Commerce,15,20,13,644000,47,2,500000.0, COMMERCE , Informel ,2,1.0, Oui ,15000.0
A270, F ,32.0, Marié ,Commerce,14,15,4,289500,202,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,40000.0
A303, M ,26.0, Marié ,Commerce,15,17,14,880000,140,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A338, F ,44.0, Célibataire ,Commerce,14,15,4,429000,15,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A238, M ,38.0, Marié ,Commerce,15,15,9,738000,216,2,800000.0, COMMERCE , Formel ,1,1.0, Oui ,500000.0
A244, M ,30.0, Marié ,Commerce,13,13,10,277700,63,1,68000.0, COMMERCE , Formel ,1,0.9219478098788444, Oui ,60000.0
A346, F ,34.0, Marié ,Commerce,14,14,13,836000,33,2,1000000.0, COMMERCE , Informel ,1,1.0, Non ,60000.0
A353, M ,25.0, Marié ,Artisan,8,9,3,340000,19,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,200000.0
A313, F ,28.0, Marié ,Commerce,15,18,7,1374000,163,1,500000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,200000.0
A310, F ,49.0, Marié ,Commerce,15,15,12,434000,185,1,150000.0, COMMERCE , Formel ,1,1.0, Oui ,50000.0
A349, F ,45.0, Marié ,Commerce,15,15,13,226900,198,1,140000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A310, M ,40.0, Marié ,Commerce,14,14,14,1660000,239,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A315, F ,41.0, Inconnue ,Commerce,10,10,4,372000,74,1,400000.0, COMMERCE , Informel ,0,1.0, Oui ,80000.0
A244, M ,23.0, Célibataire ,Commerce,15,17,11,1247000,201,1,450000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,230000.0
A340, M ,27.0, Célibataire ,Commerce,15,16,11,302400,130,2,440000.0, COMMERCE , Informel ,2,0.9219478098788444, Non ,0.0
A260, F ,38.0, Marié ,Commerce,15,16,13,765500,63,1,500000.0, COMMERCE , Formel ,0,1.0, Non ,0.0
A310, M ,42.0, Marié ,Commerce,15,17,1,710000,155,1,600000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A319, F ,38.0, Marié ,Commerce,14,14,12,163900,162,1,120000.0, COMMERCE , Formel ,0,1.0, Oui ,30000.0
A247, M ,28.0, Marié ,Tech_reparation,11,12,9,688000,124,1,400000.0, COMMERCE , Informel ,0,1.0, Oui ,500000.0
A350, F ,52.0, Marié ,Commerce,15,16,13,496000,243,2,600000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A351, M ,41.0, Marié ,Commerce,15,18,14,318500,225,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,70000.0
A238, F ,28.0, Divorcé ,Commerce,12,15,5,230500,97,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A344, F ,45.0, Marié ,Commerce,15,15,4,542000,138,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,60000.0
A300, F ,22.0, Célibataire ,Commerce,15,15,8,338000,203,1,272000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,200000.0
A313, F ,32.0, Marié ,Commerce,14,14,2,303000,122,1,250000.0, COMMERCE , Informel ,0,1.0, Oui ,220000.0
A284, F ,46.0, Célibataire ,Commerce,15,16,4,635000,159,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,70000.0
A321, M ,51.0, Marié ,Commerce,15,23,22,692300,41,2,800000.0, COMMERCE , Informel ,2,1.0, Non ,70000.0
A338, M ,28.0, Célibataire ,Commerce,13,13,2,454000,49,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,120000.0
A247, M ,35.0, Marié ,Commerce,14,15,11,453000,220,1,400000.0, COMMERCE , Informel ,0,1.0, Non ,120000.0
A349, M ,34.0, Marié ,Commerce,15,16,8,1616300,37,2,2000000.0, COMMERCE , Formel ,2,1.0, Oui ,250000.0
A353, M ,28.0, Célibataire ,Commerce,15,16,6,639200,98,1,500000.0, COMMERCE , Formel ,1,1.0, Non ,200000.0
A270, F ,38.0, Marié ,Commerce,14,15,12,443000,75,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A270, M ,32.0, Marié ,Commerce,15,15,1,2020000,56,1,1000000.0, COMMERCE , Formel ,0,1.0, Oui ,150000.0
A315, F ,39.0, Marié ,Commerce,10,10,6,259000,110,1,300000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A247, M ,35.0, Marié ,Administration,15,16,13,708000,107,1,350000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A351, M ,43.0, Marié ,Commerce,15,22,16,1225000,159,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A270, F ,42.0, Marié ,Commerce,15,15,13,1285000,242,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,200000.0
A270, F ,42.0, Marié ,Commerce,15,15,13,1285000,242,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,200000.0
A270, F ,42.0, Marié ,Commerce,15,15,13,1285000,242,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,200000.0
A300, M ,34.0, Marié ,Commerce,15,16,11,2096000,144,2,1000000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A270, F ,39.0, Inconnue ,Restauration,15,19,18,1144500,258,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A257, M ,28.0, Marié ,Commerce,15,29,26,1085500,412,1,600000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A310, F ,36.0, Marié ,Commerce,15,18,12,542000,185,2,750000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,500000.0
A350, F ,40.0, Marié ,Restauration,14,15,1,443000,173,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,500000.0
A349, F ,51.0, Célibataire ,Commerce,15,15,5,60000,158,1,50000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A350, M ,53.0, Marié ,Commerce,15,16,11,2386000,227,1,1000000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,130000.0
A310, F ,64.0, Marié ,Commerce,14,14,13,645000,177,2,800000.0, COMMERCE , Formel ,1,1.0, Oui ,90000.0
A308, M ,32.0, Marié ,Commerce,15,15,5,356000,167,1,300000.0, COMMERCE , Formel ,0,1.0, Non ,0.0
A270, F ,32.0, Marié ,Commerce,14,15,4,289500,202,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,40000.0
A284, F ,35.0, Marié ,Commerce,10,10,3,205500,96,1,260000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,0.0
A317, M ,29.0, Célibataire ,Commerce,15,15,2,238000,153,1,100000.0, COMMERCE , Formel ,1,1.0, Oui ,75000.0
A349, F ,32.0, Marié ,Restauration,13,13,9,336000,135,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A362, F ,31.0, Marié ,Commerce,15,15,11,208000,184,1,130000.0, COMMERCE , Informel ,0,1.0, Non ,150000.0
A314, F ,35.0, Célibataire ,Commerce,15,19,12,354700,210,2,350000.0, COMMERCE , Informel ,1,1.0, Non ,150000.0
A251, M ,31.0, Inconnue ,Commerce,15,15,13,1460500,143,2,1326000.0, COMMERCE , Formel ,2,1.0, Non ,150000.0
A344, F ,44.0, Célibataire ,Administration,15,15,14,902000,212,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,500000.0
A320, F ,38.0, Marié ,Commerce,15,20,12,702800,237,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A310, F ,56.0, Marié ,Commerce,15,19,11,425000,174,2,550000.0, COMMERCE , Formel ,0,1.0, Oui ,60000.0
A310, F ,32.0, Marié ,Commerce,15,16,14,528500,198,1,250000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,90000.0
A311, M ,28.0, Marié ,Tech_reparation,14,16,12,382200,225,1,250000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,45000.0
A349, F ,44.0, Marié ,Commerce,15,15,15,307500,130,1,150000.0, COMMERCE , Formel ,1,1.0, Oui ,150000.0
A349, F ,37.0, Marié ,Commerce,15,16,13,449000,217,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,130000.0
A344, M ,37.0, Marié ,Restauration,15,17,7,787000,222,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A351, F ,49.0, Marié ,Commerce,15,31,24,1101500,241,3,1250000.0, COMMERCE , Informel ,2,1.0, Oui ,130000.0
A313, F ,48.0, Marié ,Commerce,15,21,18,261700,296,1,300000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A317, M ,57.0, Marié ,Commerce,14,16,10,448500,109,1,280000.0, COMMERCE , Formel ,1,1.0, Oui ,90000.0
A247, F ,25.0, Marié ,Commerce,10,10,0,140000,51,1,113400.0, COMMERCE , Informel ,0,1.0, Oui ,50000.0
A244, M ,36.0, Marié ,Commerce,9,10,5,216000,89,1,109000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A362, F ,56.0, Marié ,Commerce,15,23,21,530000,223,1,260000.0, COMMERCE , Informel ,0,1.0, Non ,150000.0
A351, M ,32.0, Célibataire ,Commerce,15,17,16,923800,160,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,110000.0
A304, M ,36.0, Marié ,Commerce,15,15,15,3867100,239,1,1000000.0, COMMERCE , Formel ,1,1.0, Oui ,200000.0
A300, M ,28.0, Célibataire ,Téléphonie_mobile,15,15,15,916000,219,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,70000.0
A297, M ,31.0, Marié ,Commerce,14,14,13,1063000,171,1,500000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,80000.0
A340, F ,39.0, Marié ,Commerce,15,15,13,797000,191,2,760000.0, COMMERCE , Informel ,2,0.9219478098788444, Non ,100000.0
A315, F ,48.0, Marié ,Commerce,15,15,15,458000,179,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,70000.0
A260, F ,28.0, Marié ,Commerce,15,15,12,307600,85,1,250000.0, COMMERCE , Informel ,1,1.0, Non ,70000.0
A300, M ,35.0, Marié ,Commerce,16,18,8,644200,174,2,760000.0, COMMERCE , Informel ,2,1.0, Oui ,40000.0
A349, F ,43.0, Marié ,Commerce,16,18,13,566000,176,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A284, M ,37.0, Marié ,Couture,12,13,9,309500,162,1,260000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A284, F ,34.0, Marié ,Commerce,12,13,5,419000,99,1,260000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A351, F ,32.0, Célibataire ,Commerce,16,31,16,995500,438,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A353, F ,30.0, Célibataire ,Commerce,15,15,15,449500,30,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,0.0
A324, F ,24.0, Marié ,Commerce,8,8,4,81500,66,1,130000.0, COMMERCE , Formel ,0,1.0, Oui ,0.0
A314, F ,38.0, Marié ,Commerce,14,14,9,142200,137,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,50000.0
A234, F ,57.0, Marié ,Commerce,16,16,8,192000,222,1,100000.0, COMMERCE , Informel ,1,1.0, Oui ,30000.0
A304, F ,30.0, Marié ,Commerce,16,16,5,766000,266,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,90000.0
A247, F ,40.0, Marié ,Commerce,15,15,7,210500,138,2,200000.0, COMMERCE , Informel ,0,1.0, Non ,90000.0
A346, F ,33.0, Marié ,Commerce,15,15,15,1392000,45,2,1000000.0, COMMERCE , Informel ,1,1.0, Non ,90000.0
A300, M ,31.0, Inconnue ,Commerce,16,16,15,1189000,162,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,210000.0
A341, F ,31.0, Marié ,Commerce,8,10,4,298400,32,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A315, F ,43.0, Marié ,Commerce,16,18,15,762000,120,2,1000000.0, COMMERCE , Formel ,1,1.0, Oui ,250000.0
A314, M ,32.0, Marié ,Tech_reparation,16,17,1,127500,146,1,120000.0, COMMERCE , Informel ,1,1.0, Non ,250000.0
A307, F ,44.0, Marié ,Commerce,16,16,15,590000,59,1,220000.0, COMMERCE , Formel ,0,1.0, Oui ,53000.0
A284, F ,48.0, Marié ,Commerce,10,10,8,136500,82,1,130000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,0.0
A304, F ,30.0, Marié ,Commerce,16,17,13,413200,195,1,288000.0, COMMERCE , Formel ,1,1.0, Oui ,60000.0
A314, F ,40.0, Marié ,Commerce,16,17,7,253500,172,2,370000.0, COMMERCE , Informel ,1,1.0, Non ,60000.0
A247, M ,29.0, Marié ,Tech_reparation,16,16,4,340000,154,1,200000.0, COMMERCE , Formel ,0,1.0, Oui ,150000.0
A320, F ,40.0, Marié ,Commerce,16,16,12,219000,163,2,200000.0, COMMERCE , Informel ,2,1.0, Oui ,200000.0
A301, F ,40.0, Marié ,Commerce,16,16,9,824000,236,1,400000.0, COMMERCE , Formel ,1,1.0, Oui ,150000.0
A344, M ,36.0, Marié ,Commerce,12,12,4,568000,16,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,80000.0
A284, F ,45.0, Marié ,Commerce,16,16,15,747000,189,2,760000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,80000.0
A284, F ,43.0, Marié ,Commerce,16,16,15,743500,129,1,260000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,150000.0
A320, F ,38.0, Marié ,Commerce,10,11,3,315000,28,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A320, F ,43.0, Marié ,Commerce,15,15,8,415000,106,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,75000.0
A346, F ,55.0, Marié ,Commerce,15,15,12,413000,37,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A315, F ,43.0, Marié ,Commerce,13,14,8,173000,53,1,110000.0, COMMERCE , Formel ,0,1.0, Non ,0.0
A238, F ,28.0, Marié ,Commerce,9,9,7,244000,72,1,200000.0, COMMERCE , Formel ,1,1.0, Oui ,50000.0
A270, F ,41.0, Marié ,Commerce,14,17,4,148000,205,1,130000.0, COMMERCE , Informel ,0,1.0, Oui ,20000.0
A351, M ,23.0, Célibataire ,Administration,13,13,12,189800,32,2,260000.0, COMMERCE , Formel ,1,1.0, Non ,20000.0
A351, M ,32.0, Marié ,Tech_reparation,16,16,10,296500,190,2,360000.0, COMMERCE , Formel ,1,1.0, Non ,20000.0
A319, F ,37.0, Célibataire ,Administration,15,16,7,181500,113,2,300000.0, COMMERCE , Formel ,0,1.0, Oui ,50000.0
A353, M ,38.0, Marié ,Commerce,12,13,10,245000,35,1,130000.0, COMMERCE , Formel ,1,1.0, Oui ,0.0
A315, M ,33.0, Marié ,Commerce,16,16,8,177500,145,1,150000.0, COMMERCE , Formel ,1,1.0, Oui ,55000.0
A320, F ,28.0, Marié ,Commerce,16,17,3,352500,162,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A354, F ,33.0, Marié ,Commerce,10,14,14,334800,130,1,260000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A301, M ,36.0, Célibataire ,Commerce,16,16,12,2014500,241,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,138000.0
A284, F ,37.0, Marié ,Beauté,12,12,10,172000,51,1,130000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,0.0
A351, F ,31.0, Marié ,Commerce,16,17,14,449000,68,1,260000.0, COMMERCE , Informel ,1,1.0, Oui ,110000.0
A351, F ,39.0, Célibataire ,Commerce,16,19,12,734500,123,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A247, F ,45.0, Marié ,Commerce,16,21,11,4130000,306,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,350000.0
A315, M ,23.0, Marié ,Commerce,12,12,7,745500,146,1,500000.0, COMMERCE , Formel ,0,1.0, Non ,350000.0
A321, F ,23.0, Marié ,Commerce,12,16,9,296000,182,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,88000.0
A350, F ,29.0, Marié ,Commerce,16,16,15,2192000,260,1,500000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,120000.0
A335, F ,28.0, Marié ,Commerce,15,15,12,276500,119,1,150000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A315, F ,36.0, Marié ,Commerce,16,16,14,463000,120,1,300000.0, COMMERCE , Formel ,1,1.0, Oui ,45000.0
A270, M ,42.0, Marié ,Commerce,16,16,7,742000,120,2,1000000.0, COMMERCE , Informel ,0,1.0, Non ,120000.0
A351, M ,51.0, Célibataire ,Commerce,16,17,8,971000,228,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A351, M ,29.0, Célibataire ,Tech_reparation,14,14,9,232500,147,1,130000.0, COMMERCE , Informel ,1,1.0, Non ,0.0
A297, M ,42.0, Marié ,Commerce,16,16,16,670000,268,2,750000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,50000.0
