Agence de rattachement,Sexe ,Age,Situation Matrimoniale,Occupation/profession,Nombres de mois de cotisation,Nombres de plans cotisés,Nombre de plans cotisés à terme,Montant de l'épargne cotisé,Nombre de transactions enregistrées,Nombre de crédits demandés,Montant de crédits demandés,Secteur d'activité économique du crédit demandé,Sous Secteur d'activité économique du crédit demandé,Nombres de crédit octroyés,Cotisation au RPC,Cautionnement signé,Revenus du Garant
A350, F ,34.0, Marié ,Commerce,4,4,3,114000,48,1,300000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,200000.0
A318, F ,42.0, Marié ,Restauration,4,5,3,57000,48,1,100000.0, COMMERCE , Formel ,0,1.0, Oui ,100000.0
A353, M ,31.0, Marié ,Commerce,4,4,4,118000,54,1,260000.0, COMMERCE , Formel ,0,1.0, Non ,100000.0
A260, F ,30.0, Marié ,Commerce,4,6,3,134500,68,1,250000.0, COMMERCE , Informel ,1,1.0, Non ,100000.0
A325, M ,28.0, Célibataire ,Tech_reparation,4,4,4,60500,57,1,150000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,60000.0
A349, M ,28.0, Marié ,Commerce,4,4,3,255000,56,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A244, F ,28.0, Marié ,Commerce,4,13,10,360000,36,1,364000.0, COMMERCE , Informel ,1,0.9219478098788444, Non ,200000.0
A349, F ,35.0, Marié ,Commerce,4,4,0,80000,18,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A304, F ,26.0, Marié ,Commerce,5,5,4,268000,5,1,500000.0, COMMERCE , Formel ,0,0.9219478098788444, Oui ,100000.0
A305, F ,24.0, Marié ,Commerce,4,4,3,224000,6,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A349, F ,31.0, Marié ,Commerce,4,4,4,248000,4,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A351, F ,43.0, Inconnue ,Commerce,5,6,3,127800,34,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,80000.0
A337, F ,34.0, Marié ,Commerce,4,7,2,186000,15,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A340, M ,25.0, Marié ,Commerce,5,6,5,309500,23,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,1000000.0
A349, F ,34.0, Marié ,Couture,5,5,2,420000,12,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A348, M ,62.0, Marié ,Commerce,5,7,4,268000,21,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A321, F ,39.0, Marié ,Commerce,5,5,4,65500,68,1,140000.0, COMMERCE , Informel ,1,1.0, Oui ,87000.0
A300, M ,36.0, Marié ,Autres,5,5,4,456000,28,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A270, F ,27.0, Célibataire ,Commerce,5,5,5,195000,37,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,400000.0
A344, F ,40.0, Marié ,Commerce,5,5,4,280000,44,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A332, F ,34.0, Célibataire ,Commerce,5,5,0,196000,75,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A350, F ,46.0, Marié ,Tech_reparation,5,5,4,147000,32,1,300000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,100000.0
A348, M ,29.0, Marié ,Commerce,5,5,5,148000,39,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,60000.0
A348, F ,48.0, Inconnue ,Commerce,5,6,4,201000,45,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,200000.0
A251, M ,28.0, Célibataire ,Commerce,5,5,5,306000,76,1,300000.0, COMMERCE , Informel ,1,1.0, Non ,200000.0
A300, M ,42.0, Célibataire ,Commerce,5,5,3,248000,24,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
